patient,label,pct_merfish,pct_scrna,log2_ratio,is_key
C107,Tplzf-gdlike-prolif,0.0140075640846057,0.429953421712648,-4.19578985855676,FALSE
C110,B,4.99682251475261,10.3258569614896,-1.04569078993778,FALSE
C110,Bgc,2.83976395823877,2.2852306390182,0.312203296041558,FALSE
C110,Bgc-CD40,1.94825238311394,4.90901396529835,-1.32880243686764,FALSE
C110,Bgc-CD40-prolif,2.76532001815706,2.6661024121879,0.0525208083821016,FALSE
C110,Bgc-GPR183,6.91239219246482,2.6661024121879,1.3711373528486,FALSE
C110,Endo,1.75215615070359,0,7.46119796185602,FALSE
C110,Endo-art,1.79754879709487,0,7.49789078487727,FALSE
C110,Endo-cap,3.57149341806627,0,8.48441748049671,FALSE
C110,Endo-lymph,0.778937812074444,0,6.30183967934951,FALSE
C110,Endo-prolif,3.50249659555152,0,8.45635301679275,FALSE
C110,Endo-tip,1.4380390376759,0,7.17795668632724,FALSE
C110,Endo-ven,5.72855197458012,0,9.16454293318451,FALSE
C110,Fibro-BMP,2.93962778029959,0,8.20438909902988,FALSE
C110,Fibro-CCL2,3.79664094416705,0,8.5723746859951,FALSE
C110,Fibro-CXCL14,0.386745347253745,0,5.31014139914931,FALSE
C110,Fibro-GREM1,7.8093508851566,0,9.61090503853054,FALSE
C110,Fibro-MMP3,1.61779391738538,0,7.34677425228694,FALSE
C110,Fibro-StemNiche,7.48797094870631,0,9.55035642561165,FALSE
C110,Fibro-myo,0.237857467090331,0,4.63143881777435,FALSE
C110,ILC3,0.274171584203359,1.9043588658485,-2.75202709857558,FALSE
C110,Mast,0.408533817521561,0,5.3872722920944,FALSE
C110,Myeloid-DC-pDC_ASDC,1.04403086699955,0.3808717731697,1.43114980732898,FALSE
C110,Myeloid-DC1,0.00544711756695415,0.211595429538722,-3.84251856437036,FALSE
C110,Myeloid-DC2,0.463004993191103,0.3808717731697,0.275160009119153,FALSE
C110,Myeloid-DC2-C1Q,0.19609623241035,0.338552687261955,-0.758058618917116,FALSE
C110,Myeloid-DCmreg,2.20789832047208,0.804062632247143,1.44598152491321,TRUE
C110,Myeloid-Granulo,0.568315932818883,1.94667795175624,-1.75847656877844,FALSE
C110,Myeloid-ISGhigh,0.27598729005901,1.98899703766399,-2.80525339732366,TRUE
C110,Myeloid-ISGlow,3.75306400363141,6.43250105797715,-0.775713041478617,TRUE
C110,Myeloid-Macro,1.16749886518384,1.81972069403301,-0.635897769186204,FALSE
C110,Myeloid-Macro-C1Q,0.43213799364503,1.26957257723233,-1.5330933613314,FALSE
C110,Myeloid-Macro-MMP9-APOE,2.20063549704948,2.07363520947948,0.0853584432652756,FALSE
C110,Myeloid-Macro-SEPP1-LYVE1,3.29550612800726,1.10029623360135,1.57392654176757,FALSE
C110,Myeloid-Macro-prolif,0.163413527008625,0.126957257723233,0.340490719179183,FALSE
C110,Myeloid-Mono-CSF1R,0.294144348615524,1.22725349132459,-2.02431301077382,FALSE
C110,Myeloid-Mono-S100-VCAN,0.384929641398093,1.73508252221752,-2.14362770255313,FALSE
C110,Myeloid-Mono-VEGFA,0.635497049477985,2.79305966991113,-2.11852004975221,FALSE
C110,Myeloid-inflamm,0.421243758511121,6.89801100296234,-4.00169489917991,FALSE
C110,NK-CD16,0.319564230594644,2.49682606855692,-2.92723032838362,FALSE
C110,NK-XCL1,0.0671811166591012,0.550148116800677,-2.85948853920653,FALSE
C110,Pericyte,7.32274171584203,0,9.51820891341109,FALSE
C110,Schwann,1.55242850658193,0,7.28764636639139,FALSE
C110,SmoothMuscle,2.21334543803904,0,7.79658830504425,FALSE
C110,Tcd4-CXCL13,0.749886518384022,4.61278036394414,-2.60490493197111,FALSE
C110,Tcd4-IL7R,2.41307308216069,12.2725349132459,-2.34169851637592,FALSE
C110,Tcd4-TFH,0.392192464820699,1.94667795175624,-2.28244836559823,FALSE
