lineage,old_label,new_label,N
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-CXCL13,1037
TNKILC,cTNI24 (NK GZMK+),Tcd8-GZMK,11
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd4-TFH,25
TNKILC,cTNI11 (CD8+GZMK+),Tcd8-CXCL13,179
TNKILC,cTNI11 (CD8+GZMK+),Tcd8-CXCL13-LAG3,53
TNKILC,cTNI24 (NK GZMK+),Tplzf-gdlike,97
TNKILC,cTNI21 (PLZF+ T prolif),Tcd8-gdlike,1
TNKILC,cTNI10 (CD8+ IL7R+),Tcd8-GZMK,130
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd4-IL7R,52
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd8-CXCL13,244
TNKILC,cTNI22 (cTNI22),Tcd8-CXCL13-LAG3,11
TNKILC,cTNI08 (CD4+ Treg),Tcd4-Treg-prolif,41
TNKILC,cTNI21 (PLZF+ T prolif),Tcd8-GZMK,1
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd4-TFH,31
TNKILC,cTNI17 (gd-like T),Tcd8-GZMK,153
TNKILC,cTNI24 (NK GZMK+),ILC3,6
TNKILC,cTNI22 (cTNI22),Tcd8-GZMK,112
TNKILC,cTNI22 (cTNI22),NK-CD16,416
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd4-TFH,158
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tplzf-gdlike,248
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd8-CXCL13,28
TNKILC,cTNI20 (PLZF+ T),Tcd8-CXCL13-prolif,16
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd8-GZMK,25
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd4-CXCL13,87
TNKILC,cTNI24 (NK GZMK+),Tcd8-CXCL13-LAG3,7
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-CXCL13,1041
TNKILC,cTNI20 (PLZF+ T),Tcd8-CXCL13,16
TNKILC,cTNI06 (CD4+ TFH),Tcd4-Treg,151
TNKILC,cTNI20 (PLZF+ T),NK-XCL1,59
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-CXCL13-LAG3,254
TNKILC,cTNI06 (CD4+ TFH),ILC3,1
TNKILC,cTNI02 (CD4+ IL7R+SELL+),ILC3,85
TNKILC,cTNI06 (CD4+ TFH),Tcd8-GZMK,6
TNKILC,cTNI06 (CD4+ TFH),Tcd4-Treg-prolif,9
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd8-HOBIT,44
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tplzf-gdlike,2
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd4-Treg,26
TNKILC,cTNI01 (CD4+ IL7R+),Tcd4-TFH,120
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tplzf-gdlike,16
TNKILC,cTNI01 (CD4+ IL7R+),Tcd4-Treg-prolif,23
TNKILC,cTNI01 (CD4+ IL7R+),Tcd4-CXCL13,135
TNKILC,cTNI17 (gd-like T),NK-CD16,663
TNKILC,cTNI01 (CD4+ IL7R+),Tcd8-CXCL13,7
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd4-Treg,75
TNKILC,cTNI01 (CD4+ IL7R+),Tcd4-Treg,51
TNKILC,cTNI10 (CD8+ IL7R+),Tcd4-TFH,7
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-HOBIT,1364
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd4-Treg,74
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-CXCL13-LAG3,670
