lineage,old_label,new_label,N
TNKILC,cTNI19 (gd-like T prolif),Tcd8-HOBIT,3
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd8-gdlike,217
TNKILC,cTNI24 (NK GZMK+),Tplzf-gdlike,6
TNKILC,cTNI12 (CD8+ IL7R+),Tcd8-HOBIT,9
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd8-HOBIT,3
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd4-Treg-prolif,14
TNKILC,cTNI11 (CD8+GZMK+),Tcd8-HOBIT,28
TNKILC,cTNI08 (CD4+ Treg),Tcd8-GZMK,6
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd8-HOBIT,107
TNKILC,cTNI14 (CD8+ CXCL13+),NK-CD16,28
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd4-CXCL13,5
TNKILC,cTNI14 (CD8+ CXCL13+),Tplzf-gdlike,3
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-CXCL13-prolif,11
TNKILC,cTNI08 (CD4+ Treg),NK-CD16,2
TNKILC,cTNI10 (CD8+ IL7R+),Tcd8-gdlike,3
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd8-CXCL13-prolif,22
TNKILC,cTNI25 (NK XCL1+),ILC3,11
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd4-TFH,30
TNKILC,cTNI25 (NK XCL1+),Tplzf-gdlike,2
TNKILC,cTNI08 (CD4+ Treg),Tcd8-HOBIT,5
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd4-IL7R,5
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd4-Treg,5
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd8-gdlike,1
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),ILC3,17
TNKILC,cTNI11 (CD8+GZMK+),Tcd4-TFH,7
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tplzf-gdlike,1
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd8-gdlike,3
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd8-GZMK,2
TNKILC,cTNI11 (CD8+GZMK+),Tcd4-Treg-prolif,2
TNKILC,cTNI08 (CD4+ Treg),Tcd4-Treg-prolif,4
TNKILC,cTNI22 (cTNI22),Tcd8-HOBIT,6
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd8-HOBIT,10
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd8-CXCL13-LAG3,133
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd4-Treg,13
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tplzf-gdlike-prolif,1
TNKILC,cTNI23 (NK CD16A+),NK-XCL1,3
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd4-Treg-prolif,24
TNKILC,cTNI11 (CD8+GZMK+),Tcd8-CXCL13,8
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd8-CXCL13,1
TNKILC,cTNI23 (NK CD16A+),Tcd8-gdlike,1
TNKILC,cTNI11 (CD8+GZMK+),Tplzf-gdlike,1
TNKILC,cTNI21 (PLZF+ T prolif),Tplzf-gdlike-prolif,68
TNKILC,cTNI02 (CD4+ IL7R+SELL+),ILC3,27
TNKILC,cTNI11 (CD8+GZMK+),Tcd8-gdlike,2
TNKILC,cTNI11 (CD8+GZMK+),Tcd8-CXCL13-LAG3,3
TNKILC,cTNI03 (CD4+ IL7R+HSP+),NK-XCL1,2
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd8-HOBIT,13
TNKILC,cTNI01 (CD4+ IL7R+),Tcd4-TFH,10
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd4-Treg-prolif,3
TNKILC,cTNI01 (CD4+ IL7R+),Tcd8-CXCL13,2
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd4-CXCL13,15
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd4-TFH,6
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tplzf-gdlike-prolif,1
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd4-Treg,31
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd4-Treg-prolif,7
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd8-CXCL13,2
TNKILC,cTNI01 (CD4+ IL7R+),Tcd4-CXCL13,5
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd8-CXCL13-LAG3,1
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd8-HOBIT,19
TNKILC,cTNI01 (CD4+ IL7R+),Tcd4-Treg-prolif,4
TNKILC,cTNI06 (CD4+ TFH),Tcd8-CXCL13-prolif,1
TNKILC,cTNI26 (ILC3),Tcd4-CXCL13,1
TNKILC,cTNI01 (CD4+ IL7R+),Tcd4-Treg,4
TNKILC,cTNI26 (ILC3),Tcd4-IL7R,1
TNKILC,cTNI24 (NK GZMK+),Tcd8-gdlike,2
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd8-GZMK,1
TNKILC,cTNI26 (ILC3),Tcd8-GZMK,1
TNKILC,cTNI01 (CD4+ IL7R+),Tcd8-HOBIT,1
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd8-GZMK,15
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd8-GZMK,51
TNKILC,cTNI22 (cTNI22),Tplzf-gdlike,1
TNKILC,cTNI14 (CD8+ CXCL13+),ILC3,7
TNKILC,cTNI18 (gd-like T PDCD1+),NK-XCL1,1
TNKILC,cTNI07 (CD4+ CXCL13+),ILC3,2
TNKILC,cTNI18 (gd-like T PDCD1+),NK-CD16,197
TNKILC,cTNI14 (CD8+ CXCL13+),NK-XCL1,2
TNKILC,cTNI18 (gd-like T PDCD1+),Tplzf-gdlike,50
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd4-TFH,12
TNKILC,cTNI11 (CD8+GZMK+),NK-XCL1,1
TNKILC,cTNI21 (PLZF+ T prolif),Tplzf-gdlike,2
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd8-HOBIT,2
