MMRstatus,population,xbin,ybin,x_mid,y_mid,n_pat,val,lo,hi,n_pat_arm
MMRd,CD8-all,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,0.72381149065883,0.492782262324217,1.91883490950987,8
MMRd,Tcd8-HOBIT,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,7,0.207738249805245,0.165480973191501,0.579220748257667,8
MMRd,Tplzf-gdlike-comb,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,0.511767606208717,0.209321742158349,0.934140757187875,8
MMRd,Myeloid-ISG,"(-15,-10]","(1.46,2.19]",-12.5,1.82352438217472,8,2.88585187432787,1.62120990096592,3.8523531807586,8
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(1.46,2.19]",-12.5,1.82352438217472,8,16.1961790704306,12.1417493985908,21.9594959198729,8
MMRd,Tcd4-Treg-comb,"(-15,-10]","(1.46,2.19]",-12.5,1.82352438217472,8,1.15808872272161,0.848553036711943,1.86412888508697,8
MMRd,Myeloid-mregDC,"(-15,-10]","(2.19,2.92]",-12.5,2.55293413504461,8,0.480193183284485,0.350506891566705,0.656550817947301,8
MMRd,Myeloid-ISG,"(-15,-10]","(2.19,2.92]",-12.5,2.55293413504461,8,3.42348772053447,1.98356190897528,4.3161790302402,8
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(2.19,2.92]",-12.5,2.55293413504461,8,18.3928096779235,14.1967424994181,23.6289551812497,8
MMRd,CD8-all,"(-15,-10]","(2.19,2.92]",-12.5,2.55293413504461,8,0.993178245598201,0.682876974666427,2.10663057354045,8
MMRd,Myeloid-mregDC,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,0.811488299262283,0.662294419867189,1.02826603441295,8
MMRd,Myeloid-ISG,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,4.43598398880317,3.262542835725,5.97154854002587,8
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,20.0838724004353,16.4339588758193,25.888609442374,8
MMRd,Tcd4-Treg-comb,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,1.1674239437439,0.965534445710657,2.02654269226823,8
MMRd,Tcd8-CXCL13-comb,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,0.450492462577474,0.362307570233877,1.11874151761716,8
MMRd,CD8-all,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,1.15244515844085,0.779427162440781,3.37314058244291,8
MMRd,Tcd8-GZMK,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,0.407210532114135,0.196353507366265,0.750501331896681,8
MMRd,Myeloid-mregDC,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,0.861240191693755,0.678610337731509,1.08354624693772,8
MMRd,Myeloid-ISG,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,6.45511462823441,5.19802441524555,8.83277129876821,8
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,23.0467467382761,18.9657000542487,29.5904875649853,8
MMRd,Tcd4-Treg-comb,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,1.84174043370334,1.2374883375454,2.48479441502904,8
MMRd,Tcd8-CXCL13-comb,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,0.675627739630578,0.610237772664387,1.13767262255383,8
