MMRstatus,population,xbin,ybin,x_mid,y_mid,n_pat,n_pat_arm,passes
MMRd,Myeloid-ISG,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,8,TRUE
MMRd,CD8-all,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,8,TRUE
MMRd,Tcd8-CXCL13-LAG3,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,5,8,TRUE
MMRd,Tcd8-HOBIT,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,8,TRUE
MMRd,Myeloid-mregDC,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,7,8,TRUE
MMRd,Myeloid-ISG,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,8,TRUE
MMRd,Tcd4-CXCL13,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,7,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,8,TRUE
MMRd,CD8-all,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,8,TRUE
MMRd,Tcd8-CXCL13-LAG3,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,3,8,FALSE
MMRd,Tcd8-GZMK,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,5,8,TRUE
MMRd,Tcd8-HOBIT,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,6,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,8,TRUE
MMRd,Myeloid-mregDC,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,5,8,TRUE
MMRd,Myeloid-ISG,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,7,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,7,8,TRUE
MMRd,Tcd4-CXCL13,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,5,8,TRUE
MMRd,Tcd4-Treg-comb,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,5,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,4,8,TRUE
MMRd,CD8-all,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,5,8,TRUE
MMRd,Tcd8-CXCL13-LAG3,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,3,8,FALSE
MMRd,Tcd8-GZMK,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,4,8,TRUE
MMRd,Tcd8-HOBIT,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,4,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,3,8,FALSE
MMRd,Myeloid-ISG,"(-15,-10]","(5.84,6.56]",-12.5,6.19998289939405,3,8,FALSE
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(5.84,6.56]",-12.5,6.19998289939405,3,8,FALSE
MMRd,Tcd4-CXCL13,"(-15,-10]","(5.84,6.56]",-12.5,6.19998289939405,1,8,FALSE
MMRd,Tcd4-Treg-comb,"(-15,-10]","(5.84,6.56]",-12.5,6.19998289939405,1,8,FALSE
MMRd,Tplzf-gdlike-comb,"(-15,-10]","(5.84,6.56]",-12.5,6.19998289939405,1,8,FALSE
MMRd,Myeloid-mregDC,"(-15,-10]","[0,0.729]",-12.5,0.364704876434944,8,8,TRUE
